Color,Area,Perimeter,Eccentricity,Solidity
orange,6173.0,509.58787847867995,0.6495578403330777,0.9038067349926794
yellow,8506.0,363.84776310850236,0.32907017292650487,0.9540152534768954
green,10676.0,409.4396462005392,0.1590196674230865,0.9724904354162871
blue,8812.0,475.73001410241096,0.4192745906494922,0.9182992913714048
red,12847.0,500.7594513539338,0.5544316704882476,0.9078510352625256
